isin,symbol,company_name,series,bse_code,bse_sector,bse_industry,bse_industry_new,bse_i_group,bse_i_sub_group,classification_status,classification_source,failure_reason,attempted_at_utc,attempt_count
INE484D01012,AMARJOTHI,Amarjothi Spinning Mills Limited,EQ,521097,Consumer Discretionary,Other Textile Products,Textiles,Textiles & Apparels,Other Textile Products,CLASSIFIED,,,,0
INE432A01017,AMBALALSA,Ambalal Sarabhai Enterprises Limited,BE,500009,Healthcare,Pharmaceuticals,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,CLASSIFIED,,,,0
INE371P01015,AMBER,Amber Enterprises India Limited,EQ,540902,Consumer Discretionary,Household Appliances,Consumer Durables,Consumer Durables,Household Appliances,CLASSIFIED,,,,0
INE792B01012,AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,EQ,532335,Fast Moving Consumer Goods,Household Products,Fast Moving Consumer Goods,Household Products,Household Products,CLASSIFIED,,,,0
INE540G01014,AMBIKCO,Ambika Cotton Mills Limited,EQ,531978,Consumer Discretionary,Other Textile Products,Textiles,Textiles & Apparels,Other Textile Products,CLASSIFIED,,,,0
INE079A01024,AMBUJACEM,Ambuja Cements Limited,EQ,500425,Commodities,Cement & Cement Products,Construction Materials,Cement & Cement Products,Cement & Cement Products,CLASSIFIED,,,,0
INE005I01014,AMDIND,AMD Industries Limited,EQ,532828,Industrials,Packaging,Capital Goods,Industrial Products,Packaging,CLASSIFIED,,,,0
INE606A01024,AMJLAND,Amj Land Holdings Limited,EQ,500343,Consumer Discretionary,"Residential, Commercial Projects",Realty,Realty,"Residential, Commercial Projects",CLASSIFIED,,,,0
INE275D01022,AMNPLST,Amines & Plasticizers Limited,EQ,506248,Commodities,Commodity Chemicals,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,CLASSIFIED,,,,0
INE098F01031,AMRUTANJAN,Amrutanjan Health Care Limited,EQ,590006,Healthcare,Pharmaceuticals,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,CLASSIFIED,,,,0
INE463V01026,ANANDRATHI,Anand Rathi Wealth Limited,EQ,543415,Financial Services,Financial Products Distributor,Financial Services,Capital Markets,Financial Products Distributor,CLASSIFIED,,,,0
