symbol,company_name,series,isin,listing_date,classification_status,classification_source,sector,industry,basic_industry,yahoo_ticker,yahoo_sector,yahoo_industry,classification_failure_reason,yahoo_failure_reason
RPPL,Rajshree Polypack Limited,BE,INE760W01023,2021-11-26,YAHOO_FALLBACK,Yahoo Finance,,,,RPPL.NS,Consumer Cyclical,Packaging & Containers,COMPANY_NAME: IndexError: tuple index out of range,
SAGARDEEP,Sagardeep Alloys Limited,EQ,INE976T01013,2019-01-25,YAHOO_FALLBACK,Yahoo Finance,,,,SAGARDEEP.NS,Basic Materials,Copper,COMPANY_NAME: IndexError: tuple index out of range,
SAKAR,Sakar Healthcare Limited,EQ,INE732S01012,2019-04-11,YAHOO_FALLBACK,Yahoo Finance,,,,SAKAR.NS,Healthcare,Drug Manufacturers - Specialty & Generic,COMPANY_NAME: IndexError: tuple index out of range,
SANGINITA,Sanginita Chemicals Limited,BE,INE753W01010,2019-07-15,YAHOO_FALLBACK,Yahoo Finance,,,,SANGINITA.NS,Basic Materials,Chemicals,COMPANY_NAME: IndexError: tuple index out of range,
SERVOTECH,Servotech Renewable Power System Limited,EQ,INE782X01033,2021-09-02,YAHOO_FALLBACK,Yahoo Finance,,,,SERVOTECH.NS,Industrials,Electrical Equipment & Parts,COMPANY_NAME: IndexError: tuple index out of range,
SHANTI,Shanti Overseas (India) Limited,EQ,INE933X01016,2021-09-16,YAHOO_FALLBACK,Yahoo Finance,,,,SHANTI.NS,Consumer Defensive,Farm Products,COMPANY_NAME: IndexError: tuple index out of range,
SHIVAUM,Shiv Aum Steels Limited,EQ,INE719F01016,2025-11-14,YAHOO_FALLBACK,Yahoo Finance,,,,SHIVAUM.NS,Basic Materials,Steel,COMPANY_NAME: IndexError: tuple index out of range,
SHRADHA,Shradha Realty Limited,EQ,INE715Y01031,2020-10-22,YAHOO_FALLBACK,Yahoo Finance,,,,SHRADHA.NS,Real Estate,Real Estate - Development,COMPANY_NAME: IndexError: tuple index out of range,
SHRENIK,Shrenik Limited,BZ,INE632X01030,2019-08-02,YAHOO_FALLBACK,Yahoo Finance,,,,SHRENIK.NS,Basic Materials,Paper & Paper Products,COMPANY_NAME: IndexError: tuple index out of range,
SIKKO,Sikko Industries Limited,BE,INE112X01025,2021-10-22,YAHOO_FALLBACK,Yahoo Finance,,,,SIKKO.NS,Basic Materials,Agricultural Inputs,COMPANY_NAME: IndexError: tuple index out of range,
SILGO,Silgo Retail Limited,EQ,INE01II01013,2021-03-03,YAHOO_FALLBACK,Yahoo Finance,,,,SILGO.NS,Consumer Cyclical,Luxury Goods,COMPANY_NAME: IndexError: tuple index out of range,
SILLYMONKS,Silly Monks Entertainment Limited,EQ,INE203Y01012,2020-07-08,YAHOO_FALLBACK,Yahoo Finance,,,,SILLYMONKS.NS,Communication Services,Entertainment,COMPANY_NAME: IndexError: tuple index out of range,
